experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,42,ONE_HOT,2.3338,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,43,ONE_HOT,2.5248,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,44,ONE_HOT,2.179,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,45,ONE_HOT,2.1263,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,46,ONE_HOT,2.3195,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,47,ONE_HOT,5.0943,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,48,ONE_HOT,5.3978,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,49,ONE_HOT,5.7408,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,50,ONE_HOT,5.1675,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,51,ONE_HOT,5.2504,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,52,ONE_HOT,4.7072,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,53,ONE_HOT,4.3902,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,54,ONE_HOT,4.1688,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,55,ONE_HOT,4.2203,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,56,ONE_HOT,4.4242,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,57,ONE_HOT,4.5236,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,58,ONE_HOT,4.7215,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,59,ONE_HOT,4.8688,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,60,ONE_HOT,4.8535,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,61,ONE_HOT,5.1725,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,62,ONE_HOT,5.6246,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,63,ONE_HOT,4.9518,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,64,ONE_HOT,5.4405,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,65,ONE_HOT,5.3873,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,2,2,2,14,0.7,66,ONE_HOT,4.9638,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,42,ONE_HOT,4.6709,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,43,ONE_HOT,4.7075,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,44,ONE_HOT,4.2839,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,45,ONE_HOT,4.0373,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,46,ONE_HOT,4.6849,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,47,ONE_HOT,4.2012,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,48,ONE_HOT,4.2955,0.7011,1,60,1,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,49,ONE_HOT,4.3562,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,50,ONE_HOT,4.261,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,51,ONE_HOT,4.3557,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,52,ONE_HOT,4.8741,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,53,ONE_HOT,4.5812,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,54,ONE_HOT,4.6359,0.7471,4,61,0,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,55,ONE_HOT,4.215,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,56,ONE_HOT,4.6547,0.7241,2,61,0,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,57,ONE_HOT,4.2037,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,58,ONE_HOT,4.5681,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,59,ONE_HOT,4.3599,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,60,ONE_HOT,4.4077,0.7241,2,61,0,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,61,ONE_HOT,4.3952,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,62,ONE_HOT,4.4343,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,63,ONE_HOT,4.484,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,64,ONE_HOT,4.3149,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,65,ONE_HOT,4.2663,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,3,2,2,14,0.7,66,ONE_HOT,4.1744,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,42,ONE_HOT,4.3708,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,43,ONE_HOT,4.3789,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,44,ONE_HOT,4.2717,0.7241,2,61,0,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,45,ONE_HOT,4.2666,0.7011,1,60,1,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,46,ONE_HOT,4.1099,0.7241,3,60,1,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,47,ONE_HOT,4.2479,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,48,ONE_HOT,4.3074,0.7471,7,58,3,19
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,49,ONE_HOT,3.9846,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,50,ONE_HOT,3.97,0.7241,2,61,0,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,51,ONE_HOT,4.2388,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,52,ONE_HOT,4.1746,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,53,ONE_HOT,4.1391,0.6897,1,59,2,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,54,ONE_HOT,4.2517,0.7241,6,57,4,20
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,55,ONE_HOT,4.2539,0.7126,2,60,1,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,56,ONE_HOT,4.0914,0.7126,4,58,3,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,57,ONE_HOT,4.1449,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,58,ONE_HOT,4.5164,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,59,ONE_HOT,4.2892,0.7241,4,59,2,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,60,ONE_HOT,4.3021,0.7356,3,61,0,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,61,ONE_HOT,3.8153,0.7241,3,60,1,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,62,ONE_HOT,3.9294,0.6897,1,59,2,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,63,ONE_HOT,4.2536,0.7701,6,61,0,20
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,64,ONE_HOT,4.4385,0.7241,2,61,0,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,65,ONE_HOT,4.4772,0.7011,0,61,0,26
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,5,2,2,14,0.7,66,ONE_HOT,4.2661,0.7126,1,61,0,25
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,42,ONE_HOT,4.1487,0.7011,2,59,2,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,43,ONE_HOT,4.0852,0.7126,2,60,1,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,44,ONE_HOT,4.3685,0.7241,3,60,1,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,45,ONE_HOT,4.217,0.7126,3,59,2,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,46,ONE_HOT,4.2395,0.7241,4,59,2,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,47,ONE_HOT,4.13,0.7356,4,60,1,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,48,ONE_HOT,3.9684,0.7241,7,56,5,19
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,49,ONE_HOT,4.34,0.7356,6,58,3,20
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,50,ONE_HOT,3.932,0.7356,3,61,0,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,51,ONE_HOT,4.1869,0.7241,2,61,0,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,52,ONE_HOT,4.1747,0.7241,3,60,1,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,53,ONE_HOT,4.2328,0.7011,2,59,2,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,54,ONE_HOT,4.2841,0.7126,4,58,3,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,55,ONE_HOT,4.0175,0.7356,4,60,1,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,56,ONE_HOT,4.8632,0.7241,6,57,4,20
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,57,ONE_HOT,4.2399,0.7471,4,61,0,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,58,ONE_HOT,4.4506,0.7011,3,58,3,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,59,ONE_HOT,4.4736,0.7471,6,59,2,20
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,60,ONE_HOT,4.2302,0.7011,3,58,3,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,61,ONE_HOT,4.0584,0.7356,5,59,2,21
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,62,ONE_HOT,4.2779,0.7126,5,57,4,21
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,63,ONE_HOT,4.0509,0.7701,7,60,1,19
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,64,ONE_HOT,4.0535,0.7356,4,60,1,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,65,ONE_HOT,4.3391,0.7356,3,61,0,23
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,10,2,2,14,0.7,66,ONE_HOT,4.1651,0.7356,4,60,1,22
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,14,0.7,42,ONE_HOT,4.3942,0.7011,2,59,2,24
CART_max_depth_14,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,14,0.7,43,ONE_HOT,4.2043,0.7011,1,60,1,25
