experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,42,ONE_HOT,6.3447,0.9422,1034,1263,0,141
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,43,ONE_HOT,7.0621,0.9573,1071,1263,0,104
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,44,ONE_HOT,5.0879,0.9647,1089,1263,0,86
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,45,ONE_HOT,5.6082,0.95,1061,1255,8,114
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,46,ONE_HOT,6.4629,0.9459,1043,1263,0,132
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,47,ONE_HOT,5.0679,0.9331,1012,1263,0,163
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,48,ONE_HOT,5.0733,0.9643,1088,1263,0,87
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,49,ONE_HOT,5.6894,0.9852,1139,1263,0,36
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,50,ONE_HOT,5.3949,0.9639,1087,1263,0,88
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,51,ONE_HOT,4.9357,0.9713,1107,1261,2,68
CART_sample_ratio_73,CART,CART_GINI_GAIN,100,0.2,1.0,-1,2,2,73,0.7,52,ONE_HOT,5.3396,0.9746,1113,1263,0,62
