experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,42,ONE_HOT,4.8559,0.8999,949,1245,18,226
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,43,ONE_HOT,4.9744,0.9085,953,1262,1,222
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,44,ONE_HOT,4.9792,0.8938,916,1263,0,259
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,45,ONE_HOT,4.4464,0.9077,967,1246,17,208
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,46,ONE_HOT,4.8603,0.9126,971,1254,9,204
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,47,ONE_HOT,4.6441,0.9053,945,1262,1,230
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,48,ONE_HOT,4.6107,0.9032,939,1263,0,236
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,49,ONE_HOT,4.5464,0.8995,931,1262,1,244
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,50,ONE_HOT,4.6665,0.904,941,1263,0,234
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,51,ONE_HOT,4.4984,0.9028,938,1263,0,237
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,52,ONE_HOT,5.0463,0.9024,937,1263,0,238
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,53,ONE_HOT,4.7069,0.897,943,1244,19,232
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,54,ONE_HOT,4.5298,0.9077,954,1259,4,221
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,55,ONE_HOT,4.5402,0.9003,937,1258,5,238
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,56,ONE_HOT,4.4542,0.8975,928,1260,3,247
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,57,ONE_HOT,4.7603,0.9057,947,1261,2,228
CART_tournament_size_73,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,73,0.7,58,ONE_HOT,4.4921,0.8929,914,1263,0,261
