experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,42,ONE_HOT,0.6298,0.6897,4,56,5,22
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,43,ONE_HOT,0.7517,0.6552,7,50,11,19
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,44,ONE_HOT,0.7823,0.6552,3,54,7,23
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,45,ONE_HOT,0.7022,0.7471,10,55,6,16
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,46,ONE_HOT,0.8147,0.6552,8,49,12,18
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,47,ONE_HOT,0.74,0.7471,8,57,4,18
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,48,ONE_HOT,0.8076,0.6207,7,47,14,19
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,49,ONE_HOT,0.7663,0.5977,6,46,15,20
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,50,ONE_HOT,0.7586,0.6897,4,56,5,22
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,51,ONE_HOT,0.732,0.6782,2,57,4,24
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,52,ONE_HOT,0.7059,0.6897,15,45,16,11
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,53,ONE_HOT,0.7229,0.7126,5,57,4,21
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,54,ONE_HOT,0.7061,0.7011,9,52,9,17
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,55,ONE_HOT,0.7542,0.7586,11,55,6,15
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,56,ONE_HOT,0.7185,0.6782,9,50,11,17
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,57,ONE_HOT,0.7122,0.6092,1,52,9,25
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,58,ONE_HOT,0.7141,0.6092,9,44,17,17
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,59,ONE_HOT,0.697,0.6897,13,47,14,13
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,60,ONE_HOT,0.7645,0.5977,6,46,15,20
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,61,ONE_HOT,0.7172,0.6667,1,57,4,25
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,62,ONE_HOT,0.7165,0.7011,14,47,14,12
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,63,ONE_HOT,0.683,0.7356,11,53,8,15
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,64,ONE_HOT,0.7206,0.7011,0,61,0,26
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,65,ONE_HOT,0.6656,0.7931,8,61,0,18
CART_tree_count_14,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,14,0.7,66,ONE_HOT,0.684,0.6322,10,45,16,16
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,42,ONE_HOT,0.8414,0.6897,0,60,1,26
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,43,ONE_HOT,0.8252,0.7126,2,60,1,24
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,44,ONE_HOT,0.9184,0.6782,1,58,3,25
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,45,ONE_HOT,0.9051,0.6897,2,58,3,24
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,46,ONE_HOT,0.9185,0.7126,4,58,3,22
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,47,ONE_HOT,0.9437,0.7126,3,59,2,23
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,48,ONE_HOT,0.9073,0.6667,4,54,7,22
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,49,ONE_HOT,0.8594,0.6667,1,57,4,25
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,50,ONE_HOT,0.8582,0.6782,2,57,4,24
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,51,ONE_HOT,0.8575,0.7011,0,61,0,26
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,52,ONE_HOT,0.8525,0.7471,5,60,1,21
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,53,ONE_HOT,0.8961,0.7011,3,58,3,23
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,54,ONE_HOT,0.9169,0.7241,3,60,1,23
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,55,ONE_HOT,0.9144,0.7356,8,56,5,18
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,56,ONE_HOT,0.8392,0.6552,4,53,8,22
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,57,ONE_HOT,0.9356,0.7011,0,61,0,26
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,58,ONE_HOT,0.9227,0.6782,4,55,6,22
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,59,ONE_HOT,0.8737,0.6782,2,57,4,24
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,60,ONE_HOT,0.8756,0.6897,1,59,2,25
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,61,ONE_HOT,0.9044,0.6897,1,59,2,25
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,62,ONE_HOT,0.9069,0.7356,11,53,8,15
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,63,ONE_HOT,0.8465,0.7471,6,59,2,20
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,64,ONE_HOT,0.8398,0.7011,0,61,0,26
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,65,ONE_HOT,0.8459,0.7241,2,61,0,24
CART_tree_count_14,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,14,0.7,66,ONE_HOT,0.8939,0.7126,3,59,2,23
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,42,ONE_HOT,1.1536,0.6897,3,57,4,23
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,43,ONE_HOT,1.1354,0.7356,4,60,1,22
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,44,ONE_HOT,1.2458,0.6897,2,58,3,24
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,45,ONE_HOT,1.2086,0.7011,4,57,4,22
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,46,ONE_HOT,1.3007,0.7471,8,57,4,18
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,47,ONE_HOT,1.3685,0.7471,13,52,9,13
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,48,ONE_HOT,1.3375,0.7241,5,58,3,21
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,49,ONE_HOT,1.3503,0.6552,4,53,8,22
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,50,ONE_HOT,1.2275,0.7011,5,56,5,21
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,51,ONE_HOT,1.3128,0.6782,0,59,2,26
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,52,ONE_HOT,1.2575,0.7586,9,57,4,17
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,53,ONE_HOT,1.2325,0.6552,3,54,7,23
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,54,ONE_HOT,1.2516,0.6897,7,53,8,19
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,55,ONE_HOT,1.3034,0.7241,7,56,5,19
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,56,ONE_HOT,1.2792,0.7011,10,51,10,16
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,57,ONE_HOT,1.2724,0.7126,1,61,0,25
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,58,ONE_HOT,1.2417,0.7126,5,57,4,21
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,59,ONE_HOT,1.3258,0.7011,8,53,8,18
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,60,ONE_HOT,1.223,0.6897,3,57,4,23
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,61,ONE_HOT,1.2071,0.7586,8,58,3,18
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,62,ONE_HOT,1.228,0.7241,10,53,8,16
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,63,ONE_HOT,1.1381,0.7471,9,56,5,17
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,64,ONE_HOT,1.2026,0.7011,7,54,7,19
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,65,ONE_HOT,1.2643,0.7241,6,57,4,20
CART_tree_count_14,CART,CART_GINI_GAIN,5,1.0,1.0,-1,2,2,14,0.7,66,ONE_HOT,1.1985,0.7241,5,58,3,21
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,42,ONE_HOT,1.9739,0.7241,3,60,1,23
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,43,ONE_HOT,2.1924,0.7126,1,61,0,25
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,44,ONE_HOT,2.0626,0.7011,3,58,3,23
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,45,ONE_HOT,2.058,0.7126,3,59,2,23
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,46,ONE_HOT,2.039,0.7356,5,59,2,21
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,47,ONE_HOT,1.9252,0.7126,6,56,5,20
CART_tree_count_14,CART,CART_GINI_GAIN,10,1.0,1.0,-1,2,2,14,0.7,48,ONE_HOT,2.0203,0.6897,5,55,6,21
