experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,42,CATEGORICAL,36.4628,0.887,81,11950,27,1506
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,43,CATEGORICAL,40.3534,0.8892,118,11943,34,1469
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,44,CATEGORICAL,34.059,0.8899,132,11939,38,1455
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,45,CATEGORICAL,34.5885,0.8892,120,11941,36,1467
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,46,CATEGORICAL,33.4597,0.89,114,11958,19,1473
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,47,CATEGORICAL,40.677,0.8907,143,11938,39,1444
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,48,CATEGORICAL,39.1796,0.8914,139,11952,25,1448
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,49,CATEGORICAL,38.9835,0.8865,66,11958,19,1521
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,50,CATEGORICAL,28.3872,0.8877,78,11963,14,1509
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,51,CATEGORICAL,41.1445,0.8894,109,11955,22,1478
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,52,CATEGORICAL,35.2923,0.8905,138,11941,36,1449
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,53,CATEGORICAL,36.8112,0.8884,115,11935,42,1472
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,54,CATEGORICAL,33.6243,0.8862,63,11958,19,1524
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,55,CATEGORICAL,38.477,0.8905,147,11932,45,1440
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,56,CATEGORICAL,40.2059,0.8887,121,11934,43,1466
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,57,CATEGORICAL,47.6303,0.8895,108,11957,20,1479
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,58,CATEGORICAL,42.6243,0.8882,96,11952,25,1491
Compare_on_222,ID3,ID3_GAIN_RATIO,100,1.0,1.0,-1,3,2,222,0.7,59,CATEGORICAL,37.8351,0.8896,127,11939,38,1460
