experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,42,CATEGORICAL,2.8165,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,43,CATEGORICAL,2.9863,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,44,CATEGORICAL,2.5376,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,45,CATEGORICAL,3.0519,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,46,CATEGORICAL,2.46,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,47,CATEGORICAL,2.4434,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,48,CATEGORICAL,2.4565,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,49,CATEGORICAL,2.2937,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,50,CATEGORICAL,2.2736,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,51,CATEGORICAL,2.429,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,52,CATEGORICAL,2.2405,1.0,1175,1263,0,0
ID3_max_depth_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,2,2,2,73,0.7,53,CATEGORICAL,2.4719,1.0,1175,1263,0,0
