experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,42,CATEGORICAL,3.4708,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,43,CATEGORICAL,4.0756,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,44,CATEGORICAL,3.9258,0.9992,1173,1263,0,2
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,45,CATEGORICAL,4.1164,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,46,CATEGORICAL,3.9342,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,47,CATEGORICAL,3.9225,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,48,CATEGORICAL,3.8909,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,49,CATEGORICAL,3.8173,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,50,CATEGORICAL,4.5392,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,51,CATEGORICAL,3.8435,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,52,CATEGORICAL,4.1515,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,53,CATEGORICAL,4.048,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,54,CATEGORICAL,3.9572,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,55,CATEGORICAL,3.778,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,56,CATEGORICAL,3.9469,0.9988,1172,1263,0,3
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,57,CATEGORICAL,3.7751,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,58,CATEGORICAL,4.1027,1.0,1175,1263,0,0
ID3_sample_ratio_73,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,73,0.7,59,CATEGORICAL,3.7902,1.0,1175,1263,0,0
