experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,42,CATEGORICAL,3.2798,0.7126,6,56,5,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,43,CATEGORICAL,2.8126,0.7356,5,59,2,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,44,CATEGORICAL,2.6979,0.7241,3,60,1,23
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,45,CATEGORICAL,2.9314,0.7126,6,56,5,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,46,CATEGORICAL,3.1769,0.7126,5,57,4,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,47,CATEGORICAL,2.3257,0.7356,7,57,4,19
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,48,CATEGORICAL,2.5424,0.7816,11,57,4,15
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,49,CATEGORICAL,2.8504,0.7471,10,55,6,16
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,50,CATEGORICAL,3.0576,0.6897,4,56,5,22
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,51,CATEGORICAL,3.5689,0.7011,3,58,3,23
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,52,CATEGORICAL,2.8146,0.7126,4,58,3,22
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,53,CATEGORICAL,3.0494,0.6897,3,57,4,23
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,54,CATEGORICAL,3.7138,0.7586,9,57,4,17
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,55,CATEGORICAL,3.6097,0.7586,8,58,3,18
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,56,CATEGORICAL,3.161,0.7126,5,57,4,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,57,CATEGORICAL,2.2829,0.7126,6,56,5,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,58,CATEGORICAL,2.6652,0.7011,4,57,4,22
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,59,CATEGORICAL,2.3489,0.7241,5,58,3,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,60,CATEGORICAL,2.4846,0.6782,5,54,7,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,61,CATEGORICAL,2.5009,0.7241,7,56,5,19
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,62,CATEGORICAL,2.3598,0.7356,8,56,5,18
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,63,CATEGORICAL,2.4577,0.8046,11,59,2,15
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,64,CATEGORICAL,2.5733,0.7356,5,59,2,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,65,CATEGORICAL,2.6394,0.7126,5,57,4,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,14,0.7,66,CATEGORICAL,2.2813,0.7356,6,58,3,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,42,CATEGORICAL,2.3987,0.7011,8,53,8,18
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,43,CATEGORICAL,3.4365,0.7126,7,55,6,19
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,44,CATEGORICAL,2.4992,0.7471,5,60,1,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,45,CATEGORICAL,2.4665,0.7471,9,56,5,17
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,46,CATEGORICAL,2.3516,0.7011,6,55,6,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,47,CATEGORICAL,2.6641,0.7471,8,57,4,18
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,48,CATEGORICAL,3.4162,0.7471,10,55,6,16
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,49,CATEGORICAL,3.3307,0.7126,8,54,7,18
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,50,CATEGORICAL,3.294,0.7356,9,55,6,17
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,51,CATEGORICAL,3.6725,0.7126,5,57,4,21
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,52,CATEGORICAL,2.7027,0.7126,6,56,5,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,53,CATEGORICAL,2.88,0.7241,6,57,4,20
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,54,CATEGORICAL,2.6197,0.7471,10,55,6,16
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,55,CATEGORICAL,2.9915,0.7356,8,56,5,18
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,56,CATEGORICAL,2.5478,0.7816,11,57,4,15
ID3_tournament_size_14,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,2,2,14,0.7,57,CATEGORICAL,2.4885,0.6782,7,52,9,19
