experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,42,CATEGORICAL,0.7203,0.6897,8,52,9,18
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,43,CATEGORICAL,0.8236,0.7126,7,55,6,19
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,44,CATEGORICAL,0.7532,0.7126,5,57,4,21
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,45,CATEGORICAL,0.9471,0.7241,10,53,8,16
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,46,CATEGORICAL,0.9512,0.7356,9,55,6,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,47,CATEGORICAL,0.9231,0.6552,6,51,10,20
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,48,CATEGORICAL,0.7855,0.6897,12,48,13,14
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,49,CATEGORICAL,0.7698,0.6552,11,46,15,15
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,50,CATEGORICAL,0.7973,0.6897,12,48,13,14
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,51,CATEGORICAL,0.7897,0.7011,9,52,9,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,52,CATEGORICAL,0.8036,0.5862,9,42,19,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,53,CATEGORICAL,0.7277,0.6667,9,49,12,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,54,CATEGORICAL,0.754,0.7126,8,54,7,18
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,55,CATEGORICAL,0.7256,0.6437,11,45,16,15
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,56,CATEGORICAL,0.7469,0.6207,9,45,16,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,57,CATEGORICAL,0.7949,0.6782,6,53,8,20
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,58,CATEGORICAL,0.706,0.6322,9,46,15,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,59,CATEGORICAL,0.7233,0.6782,11,48,13,15
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,60,CATEGORICAL,0.7249,0.6667,7,51,10,19
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,61,CATEGORICAL,0.7039,0.6092,9,44,17,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,62,CATEGORICAL,0.7987,0.6437,13,43,18,13
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,63,CATEGORICAL,0.7646,0.6552,8,49,12,18
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,64,CATEGORICAL,0.7583,0.7356,8,56,5,18
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,65,CATEGORICAL,0.8504,0.5977,9,43,18,17
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,1,1.0,1.0,-1,2,2,14,0.7,66,CATEGORICAL,0.8657,0.7011,13,48,13,13
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,42,CATEGORICAL,0.9851,0.7241,6,57,4,20
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,43,CATEGORICAL,1.0431,0.7011,1,60,1,25
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,44,CATEGORICAL,1.0019,0.7011,1,60,1,25
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,45,CATEGORICAL,0.9455,0.7011,5,56,5,21
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,46,CATEGORICAL,0.955,0.6782,2,57,4,24
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,47,CATEGORICAL,0.8931,0.7241,3,60,1,23
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,48,CATEGORICAL,0.8588,0.7241,7,56,5,19
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,49,CATEGORICAL,0.8673,0.7011,5,56,5,21
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,50,CATEGORICAL,0.8975,0.7356,7,57,4,19
ID3_tree_count_14,ID3,ID3_INFORMATION_GAIN,2,1.0,1.0,-1,2,2,14,0.7,51,CATEGORICAL,0.9255,0.7356,5,59,2,21
